7.17473 6.96586
8.57503 5.14478
9.18643 3.95088
9.91194 1.32421
9.94097 1.08496
8.28785 -5.59567
5.17489 -8.5569
1.62934 -9.86637
0.379884 -9.99278
0.29236 -9.99573
-1.27518 -9.91836
-2.78816 -9.60344
-5.56778 -8.30661
-8.61008 -5.08592
-8.66511 -4.99159
-8.99859 -4.36181
-8.98197 -4.39593
-9.58776 -2.84163
-9.99094 0.425475
-9.9935 0.360596
-9.91421 1.30705
-9.8968 1.43298
-9.8434 1.76281
-6.9137 7.22501
-4.88159 8.72755
-1.82645 9.83179
-0.495759 9.9877
0.67379 9.97727
1.05631 9.94405
4.90951 8.71187
3.4881 9.37194
4.82205 8.76058
7.17473 6.96586
