-7.54701 -6.60164
-8.32092 -6.81482
-7.32392 -8.93041
-5.33686 -6.13414
-4.84213 -5.21464
-8.94478 -0.92985
-9.65397 1.66357
-6.63351 1.44877
-4.41534 0.917158
-0.457706 1.43669
-0.417242 -0.114806
4.59299 -3.37669
3.03909 -5.72297
0.0371557 -9.51432
3.5676 -8.03571
6.26571 -9.64115
5.52096 -9.57725
4.10058 -8.27986
4.26846 -7.76446
3.72012 -2.61299
2.33619 1.60937
8.63731 5.08103
8.37711 8.79751
5.31528 9.40534
3.12037 8.10967
1.54538 6.8001
-0.135474 5.12095
-0.564068 1.69834
-2.57007 6.73133
-5.4778 9.89221
-7.5808 3.60274
-8.70714 5.09307
-7.54701 -6.60164
